msoa11cd,msoa11nm,Latitude,Longitude
E02002536,Stockton-on-Tees 002,54.610678,-1.2957634
E02002537,Stockton-on-Tees 003,54.611297,-1.2772502
E02002534,Redcar and Cleveland 020,54.527629,-1.053457
E02002535,Stockton-on-Tees 001,54.622131,-1.2872799
E02002532,Redcar and Cleveland 018,54.537155,-1.0579196
E02002533,Redcar and Cleveland 019,54.528341,-1.0675947
E02002530,Redcar and Cleveland 016,54.538927,-0.95208073
E02002538,Stockton-on-Tees 004,54.596223,-1.2905337
E02002539,Stockton-on-Tees 005,54.606496,-1.3550366
E02005740,Northumberland 020,55.137408,-1.5728585
E02005741,Northumberland 021,55.133533,-1.6042375
E02001736,Newcastle upon Tyne 029,54.971706,-1.6498345
E02001737,Newcastle upon Tyne 030,54.967211,-1.5506109
E02001734,Newcastle upon Tyne 027,54.973016,-1.6681007
E02001735,Newcastle upon Tyne 028,54.972279,-1.5580684
E02001732,Newcastle upon Tyne 025,54.977696,-1.6877479
E02001733,Newcastle upon Tyne 026,54.974185,-1.5707328
E02001730,Newcastle upon Tyne 023,54.977314,-1.5975407
E02001731,Newcastle upon Tyne 024,54.974255,-1.6244105
E02001738,North Tyneside 001,55.053417,-1.4682655
E02001739,North Tyneside 002,55.055955,-1.5849496
E02004354,County Durham 057,54.637983,-1.7149263
E02004355,County Durham 058,54.646797,-1.684972
E02004352,County Durham 055,54.656577,-1.6592746
E02004353,County Durham 056,54.654795,-1.6846777
E02004350,County Durham 046,54.71485,-1.7403412
E02004351,County Durham 051,54.705294,-1.686009
E02002506,Middlesbrough 011,54.551893,-1.2265066
E02002507,Middlesbrough 012,54.547545,-1.2481235
E02002504,Middlesbrough 009,54.556799,-1.2520046
E02002505,Middlesbrough 010,54.551806,-1.2006114
E02002502,Middlesbrough 007,54.557473,-1.182548
E02002503,Middlesbrough 008,54.556917,-1.2639551
E02002500,Middlesbrough 005,54.560431,-1.2406648
E02002501,Middlesbrough 006,54.560477,-1.2252772
E02002508,Middlesbrough 013,54.541629,-1.2579547
E02002509,Middlesbrough 014,54.540677,-1.2153426
E02001706,Gateshead 025,54.90434,-1.5801935
E02001787,South Tyneside 020,54.953473,-1.4833102
E02001707,Gateshead 026,54.888843,-1.568569
E02001786,South Tyneside 019,54.960527,-1.4288565
E02001704,Gateshead 023,54.923561,-1.5878885
E02001785,South Tyneside 018,54.958084,-1.369159
E02001705,Gateshead 024,54.919576,-1.8064695
E02001784,South Tyneside 017,54.963375,-1.4852448
E02001702,Gateshead 021,54.928986,-1.5713856
E02001783,South Tyneside 016,54.96287,-1.4458938
E02001703,Gateshead 022,54.924903,-1.7464812
E02001782,South Tyneside 015,54.964313,-1.5099414
E02001700,Gateshead 019,54.934625,-1.6578664
E02001781,South Tyneside 014,54.964899,-1.4634839
E02001701,Gateshead 020,54.92992,-1.6002452
E02001780,South Tyneside 013,54.969268,-1.4058952
E02001708,Newcastle upon Tyne 001,55.020664,-1.6628433
E02001789,South Tyneside 022,54.951034,-1.4113165
E02001709,Newcastle upon Tyne 002,55.022774,-1.6253181
E02001788,South Tyneside 021,54.951394,-1.4638042
E02006842,Gateshead 028,54.95081,-1.5966656
E02006841,Gateshead 027,54.959189,-1.5950357
E02004326,County Durham 034,54.76207,-1.3920708
E02004327,County Durham 036,54.762522,-1.3151366
E02004324,County Durham 025,54.788219,-1.3400659
E02004325,County Durham 032,54.767119,-1.3320161
E02004322,County Durham 018,54.832432,-1.3618094
E02004323,County Durham 021,54.813342,-1.394647
E02004320,County Durham 016,54.840336,-1.3661224
E02004321,County Durham 017,54.834435,-1.338067
E02004328,County Durham 035,54.764001,-1.3486191
E02004329,County Durham 037,54.750658,-1.3474194
E02002516,Redcar and Cleveland 002,54.6086,-1.0738281
E02002517,Redcar and Cleveland 003,54.606988,-1.0900123
E02002514,Middlesbrough 019,54.52108,-1.2159191
E02002515,Redcar and Cleveland 001,54.615758,-1.0650558
E02002512,Middlesbrough 017,54.524472,-1.1958766
E02002513,Middlesbrough 018,54.52276,-1.2440211
E02002510,Middlesbrough 015,54.534252,-1.2595411
E02002518,Redcar and Cleveland 004,54.60396,-1.0514398
E02002519,Redcar and Cleveland 005,54.597298,-1.0720569
E02005726,Northumberland 034,55.029202,-1.7763446
E02005727,Northumberland 019,55.14007,-2.2289056
E02005725,Northumberland 033,55.049157,-1.7472002
E02005722,Northumberland 015,55.165881,-1.7326025
E02005723,Northumberland 016,55.164346,-1.6876894
E02005720,Northumberland 008,55.237696,-1.5926369
E02005721,Northumberland 011,55.179734,-1.6529135
E02001797,Sunderland 007,54.920842,-1.5292852
E02001796,Sunderland 006,54.919687,-1.3747364
E02001714,Newcastle upon Tyne 007,55.002012,-1.5825985
E02001795,Sunderland 005,54.920661,-1.3950972
E02001715,Newcastle upon Tyne 008,55.000624,-1.6529127
E02001794,Sunderland 004,54.926087,-1.4204344
E02001712,Newcastle upon Tyne 005,55.005825,-1.6106856
E02001793,Sunderland 003,54.928712,-1.449765
E02001713,Newcastle upon Tyne 006,55.004269,-1.6304933
E02001792,Sunderland 002,54.92995,-1.3748738
E02001710,Newcastle upon Tyne 003,55.013134,-1.647097
E02001791,Sunderland 001,54.932238,-1.3865586
E02005728,Northumberland 037,54.97022,-2.4636235
E02001711,Newcastle upon Tyne 004,55.006908,-1.6870678
E02001790,South Tyneside 023,54.946068,-1.4405983
E02005729,Northumberland 036,54.970436,-1.8644908
E02001718,Newcastle upon Tyne 011,54.996528,-1.673065
E02001799,Sunderland 009,54.914807,-1.5234746
E02001719,Newcastle upon Tyne 012,54.993744,-1.5773701
E02001798,Sunderland 008,54.919759,-1.451104
E02006909,Hartlepool 014,54.680758,-1.2494335
E02004336,County Durham 050,54.690737,-1.5422514
E02004337,County Durham 052,54.692037,-1.6136312
E02004334,County Durham 048,54.697891,-1.4300363
E02004335,County Durham 049,54.699481,-1.5820773
E02004332,County Durham 043,54.731628,-1.3753668
E02004333,County Durham 047,54.706111,-1.6001666
E02004330,County Durham 039,54.747604,-1.2915883
E02004331,County Durham 040,54.742237,-1.4217408
E02004338,County Durham 053,54.664049,-1.5525509
E02004339,County Durham 054,54.656715,-1.4518171
E02005736,Northumberland 013,55.176965,-1.5457118
E02005737,Northumberland 012,55.177575,-1.5805629
E02005734,Northumberland 009,55.184234,-1.5174711
E02005735,Northumberland 010,55.18091,-1.5628462
E02005733,Northumberland 040,54.963291,-2.2216823
E02005730,Northumberland 035,54.969466,-2.1070628
E02005731,Northumberland 038,54.960904,-1.8508892
E02005738,Northumberland 014,55.171705,-1.5620834
E02005739,Northumberland 017,55.162438,-1.5923523
E02006910,Redcar and Cleveland 022,54.565247,-1.16422
E02001826,Sunderland 036,54.810913,-1.444769
E02001824,Sunderland 034,54.838871,-1.467149
E02001825,Sunderland 035,54.824023,-1.454426
E02001822,Sunderland 032,54.863204,-1.4810992
E02001823,Sunderland 033,54.844476,-1.4939218
E02001820,Sunderland 030,54.867774,-1.4971983
E02001821,Sunderland 031,54.863451,-1.4055038
E02004306,County Durham 020,54.82141,-1.7396276
E02004307,County Durham 024,54.797137,-1.6789677
E02004304,County Durham 012,54.845687,-1.8159639
E02004305,County Durham 014,54.846725,-1.8596101
E02004302,County Durham 009,54.860583,-1.7121447
E02004303,County Durham 010,54.855918,-1.8315094
E02004300,County Durham 006,54.865552,-1.7441111
E02004301,County Durham 008,54.863765,-1.6871013
E02004308,County Durham 022,54.801483,-1.567975
E02004309,County Durham 023,54.796162,-1.5855451
E02002566,Darlington 008,54.530202,-1.5582335
E02002567,Darlington 009,54.528557,-1.529681
E02002564,Darlington 006,54.539053,-1.5835008
E02002565,Darlington 007,54.534376,-1.5668272
E02002562,Darlington 004,54.541767,-1.5506585
E02002563,Darlington 005,54.540656,-1.5281045
E02002560,Darlington 002,54.55035,-1.5485081
E02002561,Darlington 003,54.547384,-1.5249351
E02002568,Darlington 010,54.524422,-1.5703934
E02002569,Darlington 011,54.525531,-1.5869447
E02002487,Hartlepool 005,54.688591,-1.2203267
E02002485,Hartlepool 003,54.695905,-1.2258342
E02002484,Hartlepool 002,54.703076,-1.2103501
E02002483,Hartlepool 001,54.711245,-1.2455647
E02002489,Hartlepool 007,54.681567,-1.2195772
E02002488,Hartlepool 006,54.687812,-1.2334342
E02001766,North Tyneside 029,54.994814,-1.5262163
E02001767,North Tyneside 030,54.993184,-1.5393176
E02001764,North Tyneside 027,55.000261,-1.4595419
E02001765,North Tyneside 028,54.995968,-1.5023969
E02001762,North Tyneside 025,55.00468,-1.5496452
E02001763,North Tyneside 026,55.002379,-1.4989721
E02001760,North Tyneside 023,55.006991,-1.4696456
E02001761,North Tyneside 024,55.006095,-1.5270059
E02001768,South Tyneside 001,54.998337,-1.425975
E02001769,South Tyneside 002,54.987879,-1.4342037
E02005706,Northumberland 001,55.764165,-2.0068907
E02005707,Northumberland 002,55.753804,-2.0217058
E02005704,Northumberland 006,55.331854,-1.5940051
E02005705,Northumberland 007,55.312231,-1.9083889
E02005702,Northumberland 004,55.428116,-1.6304671
E02005703,Northumberland 005,55.409716,-1.7080592
E02005708,Northumberland 003,55.579204,-1.873747
E02005709,Northumberland 022,55.127435,-1.5362687
E02001685,Gateshead 004,54.955893,-1.7201309
E02001684,Gateshead 003,54.954966,-1.5516688
E02001683,Gateshead 002,54.964403,-1.7870281
E02001682,Gateshead 001,54.970931,-1.7553768
E02001689,Gateshead 008,54.953602,-1.6123301
E02001688,Gateshead 007,54.95437,-1.6339958
E02004316,County Durham 031,54.771136,-1.6991785
E02004317,County Durham 038,54.750702,-1.6340936
E02004314,County Durham 030,54.772444,-1.574471
E02004315,County Durham 033,54.771474,-1.593103
E02004312,County Durham 028,54.786698,-1.5262408
E02004313,County Durham 029,54.779437,-1.5499263
E02004310,County Durham 026,54.784018,-1.6351459
E02004311,County Durham 027,54.782364,-1.4965785
E02004318,County Durham 041,54.739019,-1.527232
E02004319,County Durham 044,54.717635,-1.4992743
E02002572,Darlington 014,54.515577,-1.5525987
E02002573,Darlington 015,54.510914,-1.4745592
E02002570,Darlington 012,54.519093,-1.5387651
E02002571,Darlington 013,54.514869,-1.5270269
E02002497,Middlesbrough 002,54.56913,-1.2002107
E02002496,Middlesbrough 001,54.569878,-1.2296001
E02002494,Hartlepool 012,54.659425,-1.2424944
E02002493,Hartlepool 011,54.660497,-1.1941855
E02002492,Hartlepool 010,54.661726,-1.2240191
E02002491,Hartlepool 009,54.671224,-1.2366927
E02002490,Hartlepool 008,54.673942,-1.2174903
E02002499,Middlesbrough 004,54.562187,-1.202094
E02002498,Middlesbrough 003,54.568424,-1.2470744
E02001776,South Tyneside 009,54.976819,-1.5048053
E02001777,South Tyneside 010,54.974002,-1.5217745
E02001774,South Tyneside 007,54.979084,-1.4875282
E02001775,South Tyneside 008,54.976943,-1.398642
E02001772,South Tyneside 005,54.979683,-1.4264285
E02001773,South Tyneside 006,54.979018,-1.4112668
E02001770,South Tyneside 003,54.98868,-1.4210961
E02001771,South Tyneside 004,54.984237,-1.3999707
E02001778,South Tyneside 011,54.973752,-1.4360114
E02001779,South Tyneside 012,54.971076,-1.4542632
E02005716,Northumberland 028,55.087929,-1.5749054
E02005717,Northumberland 030,55.075754,-1.503945
E02005714,Northumberland 027,55.100017,-1.5833181
E02005715,Northumberland 029,55.086524,-1.5923253
E02005712,Northumberland 025,55.115263,-1.5352182
E02005713,Northumberland 026,55.111273,-1.5143372
E02005710,Northumberland 023,55.123627,-1.5093421
E02005711,Northumberland 024,55.120557,-1.5237264
E02005718,Northumberland 031,55.074583,-1.582298
E02005719,Northumberland 032,55.069594,-1.5322709
E02001697,Gateshead 016,54.937881,-1.5917691
E02001696,Gateshead 015,54.943767,-1.5462672
E02001695,Gateshead 014,54.947197,-1.5312099
E02001694,Gateshead 013,54.94655,-1.6453852
E02001693,Gateshead 012,54.947142,-1.5697251
E02001692,Gateshead 011,54.948005,-1.5855934
E02001691,Gateshead 010,54.948814,-1.6073177
E02001690,Gateshead 009,54.949496,-1.6804098
E02001699,Gateshead 018,54.937,-1.5608587
E02001698,Gateshead 017,54.937468,-1.6859055
E02001806,Sunderland 016,54.898218,-1.3729638
E02001807,Sunderland 017,54.899638,-1.5054872
E02001804,Sunderland 014,54.901519,-1.4437732
E02001805,Sunderland 015,54.899364,-1.417294
E02001802,Sunderland 012,54.904388,-1.4268282
E02001803,Sunderland 013,54.902898,-1.388408
E02001800,Sunderland 010,54.906545,-1.5388252
E02001801,Sunderland 011,54.905599,-1.4057098
E02001808,Sunderland 018,54.899194,-1.4044162
E02001809,Sunderland 019,54.897525,-1.523086
E02002546,Stockton-on-Tees 012,54.572038,-1.3265
E02002547,Stockton-on-Tees 013,54.569201,-1.3484484
E02002544,Stockton-on-Tees 010,54.58125,-1.3090351
E02002545,Stockton-on-Tees 011,54.574611,-1.3618359
E02002542,Stockton-on-Tees 008,54.58658,-1.3365813
E02002543,Stockton-on-Tees 009,54.583479,-1.3530791
E02002540,Stockton-on-Tees 006,54.594225,-1.3230232
E02002541,Stockton-on-Tees 007,54.588911,-1.3129289
E02002548,Stockton-on-Tees 014,54.560196,-1.3190095
E02002549,Stockton-on-Tees 015,54.56224,-1.3610238
E02001746,North Tyneside 009,55.038026,-1.4606613
E02001747,North Tyneside 010,55.032838,-1.4402356
E02001744,North Tyneside 007,55.040101,-1.5006298
E02001745,North Tyneside 008,55.039859,-1.574178
E02001742,North Tyneside 005,55.041771,-1.4724727
E02001743,North Tyneside 006,55.040838,-1.442534
E02001740,North Tyneside 003,55.049043,-1.456663
E02001741,North Tyneside 004,55.048688,-1.6277058
E02001748,North Tyneside 011,55.031935,-1.5123867
E02001749,North Tyneside 012,55.032512,-1.5575
E02001816,Sunderland 026,54.876004,-1.4239893
E02001817,Sunderland 027,54.872365,-1.4018041
E02001814,Sunderland 024,54.885058,-1.3704402
E02001815,Sunderland 025,54.881551,-1.5310522
E02001812,Sunderland 022,54.890746,-1.3933003
E02001813,Sunderland 023,54.885865,-1.4244878
E02001810,Sunderland 020,54.89376,-1.5443813
E02006812,Redcar and Cleveland 021,54.543252,-1.1728311
E02006893,Newcastle upon Tyne 031,54.999536,-1.7073375
E02001811,Sunderland 021,54.890979,-1.4439495
E02006811,Middlesbrough 020,54.529532,-1.1864903
E02001818,Sunderland 028,54.870762,-1.3690891
E02001819,Sunderland 029,54.869588,-1.4336325
E02002556,Stockton-on-Tees 022,54.518305,-1.3074715
E02002557,Stockton-on-Tees 023,54.517311,-1.322349
E02002554,Stockton-on-Tees 020,54.531723,-1.2951447
E02002555,Stockton-on-Tees 021,54.522114,-1.3544199
E02002552,Stockton-on-Tees 018,54.546766,-1.291871
E02002553,Stockton-on-Tees 019,54.540438,-1.2993223
E02002550,Stockton-on-Tees 016,54.55825,-1.3375822
E02002551,Stockton-on-Tees 017,54.553554,-1.2999789
E02002558,Stockton-on-Tees 024,54.498999,-1.3492717
E02002559,Darlington 001,54.550253,-1.5840361
E02001756,North Tyneside 019,55.013778,-1.5862607
E02001757,North Tyneside 020,55.01372,-1.4652721
E02001754,North Tyneside 017,55.016776,-1.4452761
E02001755,North Tyneside 018,55.018867,-1.5563678
E02001752,North Tyneside 015,55.020565,-1.4812751
E02001753,North Tyneside 016,55.018193,-1.4290696
E02001750,North Tyneside 013,55.026009,-1.4560516
E02001751,North Tyneside 014,55.024375,-1.5686328
E02001758,North Tyneside 021,55.012841,-1.5126339
E02001759,North Tyneside 022,55.010539,-1.4510851
E02004297,County Durham 001,54.899904,-1.7344907
E02004296,County Durham 019,54.821179,-1.6237925
E02004295,County Durham 015,54.845067,-1.5291393
E02004294,County Durham 013,54.847621,-1.583819
E02004293,County Durham 011,54.85417,-1.5882998
E02004292,County Durham 007,54.865312,-1.577436
E02004291,County Durham 005,54.872293,-1.6121908
E02004290,County Durham 002,54.884705,-1.6042934
E02004299,County Durham 004,54.874981,-1.6909884
E02004298,County Durham 003,54.872616,-1.8454334
E02002526,Redcar and Cleveland 012,54.56255,-0.97569375
E02002527,Redcar and Cleveland 013,54.556799,-0.8950894
E02002524,Redcar and Cleveland 010,54.568499,-0.93910316
E02002525,Redcar and Cleveland 011,54.561863,-1.1390353
E02002523,Redcar and Cleveland 009,54.570854,-1.1459922
E02002520,Redcar and Cleveland 006,54.590155,-1.0253591
E02002521,Redcar and Cleveland 007,54.58157,-0.97821846
E02002529,Redcar and Cleveland 015,54.5522,-1.1540814
E02001726,Newcastle upon Tyne 019,54.983425,-1.6692806
E02001727,Newcastle upon Tyne 020,54.984114,-1.548094
E02001724,Newcastle upon Tyne 017,54.986423,-1.5994187
E02001725,Newcastle upon Tyne 018,54.984828,-1.5767449
E02001722,Newcastle upon Tyne 015,54.990668,-1.7007441
E02001723,Newcastle upon Tyne 016,54.98801,-1.6602101
E02001720,Newcastle upon Tyne 013,54.993393,-1.6066015
E02001721,Newcastle upon Tyne 014,54.992529,-1.7489157
E02001728,Newcastle upon Tyne 021,54.98103,-1.7098469
E02001729,Newcastle upon Tyne 022,54.977591,-1.6402842
E02004346,County Durham 065,54.590535,-2.0153031
E02004347,County Durham 066,54.545818,-1.9203115
E02004344,County Durham 063,54.616488,-1.5769659
E02004345,County Durham 064,54.613376,-1.7888317
E02004342,County Durham 061,54.622818,-1.5856971
E02004343,County Durham 062,54.620598,-1.5624279
E02004340,County Durham 059,54.631172,-1.6437484
E02004341,County Durham 060,54.630072,-1.5834394
E02004348,County Durham 042,54.738481,-1.9764537
E02004349,County Durham 045,54.715699,-1.7554549
E02005724,Northumberland 018,55.159137,-1.6926738
E02005732,Northumberland 039,54.952869,-1.9786252
E02001686,Gateshead 005,54.95949,-1.7254
E02005246,Pendle 007,53.852527,-2.1779427
E02005247,Pendle 008,53.84871,-2.2245149
E02005244,Pendle 005,53.860098,-2.1754965
E02005245,Pendle 006,53.857812,-2.1439702
E02005242,Pendle 003,53.91324,-2.144359
E02005243,Pendle 004,53.86082,-2.1608424
E02005240,Pendle 001,53.920639,-2.1879013
E02005241,Pendle 002,53.914682,-2.1871742
E02001236,Tameside 008,53.48937,-2.0599755
E02001237,Tameside 009,53.488066,-2.0389498
E02001234,Tameside 006,53.498159,-2.0908303
E02001235,Tameside 007,53.489593,-2.0791015
E02001232,Tameside 004,53.498503,-2.0745053
E02001233,Tameside 005,53.498091,-2.1077136
E02001230,Tameside 002,53.506474,-2.0902451
E02005248,Pendle 009,53.842196,-2.2081424
E02001231,Tameside 003,53.503125,-2.0285761
E02005249,Pendle 010,53.835453,-2.2039302
E02001238,Tameside 010,53.485766,-2.1359236
E02001239,Tameside 011,53.485227,-2.1505547
E02002636,Blackpool 004,53.842537,-3.031172
E02002637,Blackpool 005,53.834038,-3.0400957
E02002634,Blackpool 002,53.856897,-3.0294726
E02002635,Blackpool 003,53.852243,-3.0468257
E02002632,Blackburn with Darwen 018,53.656426,-2.4114624
E02002633,Blackpool 001,53.869883,-3.038065
E02002630,Blackburn with Darwen 016,53.697659,-2.471327
E02002631,Blackburn with Darwen 017,53.685598,-2.4569896
E02002638,Blackpool 006,53.830883,-3.0514134
E02002639,Blackpool 007,53.830882,-3.0171651
E02003976,Allerdale 012,54.600476,-3.1326993
E02003977,Barrow-in-Furness 001,54.181645,-3.1994114
E02003974,Allerdale 010,54.632719,-3.5471973
E02003972,Allerdale 008,54.656351,-3.5313843
E02003973,Allerdale 009,54.633272,-3.5573353
E02003970,Allerdale 006,54.661197,-3.4121272
E02003971,Allerdale 007,54.660658,-3.3563126
E02003978,Barrow-in-Furness 002,54.153081,-3.1793987
E02003979,Barrow-in-Furness 003,54.133188,-3.2121526
E02001106,Oldham 009,53.561029,-2.1162676
E02001187,Stockport 001,53.445044,-2.1545226
E02001186,Salford 030,53.42974,-2.4387673
E02001107,Oldham 010,53.553259,-2.1440495
E02001185,Salford 029,53.451441,-2.4154554
E02001104,Oldham 007,53.565106,-2.0753927
E02001184,Salford 028,53.473732,-2.2797487
E02001105,Oldham 008,53.56238,-2.1310214
E02001183,Salford 027,53.477765,-2.361199
E02001102,Oldham 005,53.569009,-2.108483
E02001182,Salford 026,53.479743,-2.3489354
E02001103,Oldham 006,53.567377,-2.008372
E02001181,Salford 025,53.480007,-2.3715096
E02001100,Oldham 003,53.577003,-2.0927969
E02001180,Salford 024,53.486665,-2.2840536
E02001101,Oldham 004,53.57454,-2.1316178
E02001108,Oldham 011,53.552655,-2.0922756
E02001189,Stockport 003,53.432001,-2.1613234
E02001109,Oldham 012,53.550083,-2.0816144
E02001188,Stockport 002,53.443924,-2.1651626
E02001056,Manchester 012,53.48839,-2.1773773
E02001057,Manchester 013,53.48419,-2.2168269
E02006871,Lancaster 020,54.064083,-2.8294061
E02001055,Manchester 011,53.498753,-2.1777824
E02001052,Manchester 008,53.510874,-2.2375461
E02001053,Manchester 009,53.505767,-2.2093683
E02001050,Manchester 006,53.515267,-2.2147537
E02001051,Manchester 007,53.512721,-2.1951675
E02003816,Cheshire East 027,53.165943,-2.2136021
E02003817,Cheshire East 028,53.164876,-2.2358834
E02004006,Copeland 007,54.44491,-3.5078749
E02003814,Cheshire East 025,53.182571,-2.4399951
E02001059,Manchester 015,53.479983,-2.1910541
E02004007,Copeland 008,54.211301,-3.2750396
E02003815,Cheshire East 026,53.166656,-2.1964338
E02004004,Copeland 005,54.529825,-3.584039
E02003812,Cheshire East 023,53.200594,-2.3596264
E02004005,Copeland 006,54.485112,-3.5350877
E02003813,Cheshire East 024,53.18976,-2.4501111
E02004002,Copeland 003,54.542619,-3.5672054
E02003810,Cheshire West and Chester 047,53.046483,-2.7925645
E02003891,Cheshire West and Chester 045,53.16353,-2.6619589
E02004003,Copeland 004,54.524678,-3.5121735
E02003811,Cheshire East 022,53.217345,-2.3396842
E02003890,Cheshire West and Chester 042,53.180839,-2.5277511
E02004000,Copeland 001,54.578513,-3.5576904
E02004001,Copeland 002,54.547644,-3.5836936
E02003818,Cheshire East 029,53.155273,-2.1924039
E02003819,Cheshire East 030,53.148777,-2.3698388
E02004008,Eden 001,54.741495,-2.6064703
E02004009,Eden 002,54.752792,-2.8147917
E02001366,Liverpool 020,53.426691,-2.931035
E02001367,Liverpool 021,53.427161,-2.9015174
E02001364,Liverpool 018,53.42919,-2.9627712
E02001365,Liverpool 019,53.427807,-2.9502483
E02001362,Liverpool 016,53.433695,-2.9204408
E02001363,Liverpool 017,53.430742,-2.8769244
E02001360,Liverpool 014,53.436438,-2.9789819
E02001361,Liverpool 015,53.434757,-2.9467456
E02001368,Liverpool 022,53.422995,-2.9861219
E02001369,Liverpool 023,53.420559,-2.9707771
E02005306,West Lancashire 003,53.604252,-2.943944
E02005307,West Lancashire 004,53.598443,-2.8432528
E02005304,West Lancashire 001,53.693696,-2.8391586
E02005305,West Lancashire 002,53.674347,-2.9124042
E02005302,South Ribble 016,53.689049,-2.6835177
E02005303,South Ribble 017,53.68819,-2.7182106
E02005300,South Ribble 014,53.692918,-2.7345409
E02005301,South Ribble 015,53.693923,-2.7079189
E02005308,West Lancashire 005,53.592836,-2.7554963
E02005256,Preston 004,53.789135,-2.6801352
E02005257,Preston 005,53.78407,-2.7444193
E02005254,Preston 002,53.807002,-2.7351981
E02005255,Preston 003,53.792683,-2.7144239
E02005252,Pendle 013,53.822561,-2.2308917
E02005253,Preston 001,53.816823,-2.6467427
E02005250,Pendle 011,53.833135,-2.2189767
E02005251,Pendle 012,53.833315,-2.1979483
E02001206,Stockport 020,53.395847,-2.0725206
E02001287,Wigan 001,53.590393,-2.6724515
E02001207,Stockport 021,53.392763,-2.1092663
E02001286,Trafford 028,53.37029,-2.3162225
E02001204,Stockport 018,53.400821,-2.1855852
E02001285,Trafford 027,53.375986,-2.3587433
E02001205,Stockport 019,53.400492,-2.1436223
E02001284,Trafford 026,53.379024,-2.3369869
E02001202,Stockport 016,53.402578,-2.1708981
E02001283,Trafford 025,53.389799,-2.3654454
E02001203,Stockport 017,53.403194,-2.0484076
